profession,description,interests,questions_and_answers,profession_label,combined_text
инженер-программист,"Разрабатывает, разрабатывает и поддерживает программные приложения и системы, использует ООП и структуры данных. Использует C++, Java, Python, алгоритмы, структуры данных, разработку ПО, шаблоны проектирования, тестирование.","Программирование, алгоритмы, структуры данных, ООП, C++, Java, Python, многопоточность, тестирование, шаблоны проектирования.","{'profession': 'инженер-программист', 'question': 'Какие задачи, связанные с разработкой программного обеспечения и приложений, вам нравятся?', 'answers': ['Разработка и тестирование программного кода.', 'Оптимизация производительности приложений.', 'Работа с различными языками программирования и фреймворками.', 'Интеграция с внешними системами и API.', 'Участие в код-ревью и улучшение качества кода.']}",10,"Разрабатывает, разрабатывает и поддерживает программные приложения и системы, использует ООП и структуры данных. Использует C++, Java, Python, алгоритмы, структуры данных, разработку ПО, шаблоны проектирования, тестирование. Программирование, алгоритмы, структуры данных, ООП, C++, Java, Python, многопоточность, тестирование, шаблоны проектирования."
инженер по контролю качества,"Обеспечивает качество программных продуктов путем тестирования, автоматизации тестов и выявления дефектов. Использует Testing, Quality assurance, Bug tracking, автоматизированное тестирование, Selenium, тестирование API.","Тестирование ПО, контроль качества, автоматизация тестов, функциональное тестирование, Selenium, тестирование API, баг-трекинг.","{'profession': 'инженер по контролю качества', 'question': 'Какие аспекты тестирования и контроля качества программного обеспечения вам интересны?', 'answers': ['Разработка и выполнение тест-кейсов.', 'Автоматизация тестирования.', 'Обнаружение и документирование дефектов.', 'Работа с инструментами для управления тестированием.', 'Оценка и улучшение качества программного обеспечения.']}",11,"Обеспечивает качество программных продуктов путем тестирования, автоматизации тестов и выявления дефектов. Использует Testing, Quality assurance, Bug tracking, автоматизированное тестирование, Selenium, тестирование API. Тестирование ПО, контроль качества, автоматизация тестов, функциональное тестирование, Selenium, тестирование API, баг-трекинг."
менеджер проектов,"Планирует, выполняет и контролирует IT-проекты, следит за сроками, ресурсами и качеством. Использует Project management, Agile, Scrum, Jira, MS Project, управление командой, оценка рисков, планирование ресурсов.","Управление проектами, планирование, Agile, Scrum, Jira, управление командой, Project management, оценка рисков, контроль сроков.","{'profession': 'менеджер проектов', 'question': 'Какие аспекты планирования и управления IT-проектами вам нравятся?', 'answers': ['Планирование и управление сроками проекта.', 'Координация работы команды.', 'Управление рисками и проблемами.', 'Отчетность и коммуникация с заинтересованными сторонами.', 'Оценка и контроль бюджета проекта.']}",12,"Планирует, выполняет и контролирует IT-проекты, следит за сроками, ресурсами и качеством. Использует Project management, Agile, Scrum, Jira, MS Project, управление командой, оценка рисков, планирование ресурсов. Управление проектами, планирование, Agile, Scrum, Jira, управление командой, Project management, оценка рисков, контроль сроков."
менеджер продукта,"Определяет видение и дорожную карту продукта, анализирует рынок и пользовательские потребности. Использует Product management, Market research, User experience, Product lifecycle, стратегия продукта, конкурентный анализ.","Анализ рынка, стратегия продукта, управление продуктом, Product management, конкурентный анализ, управление фичами, взаимодействие с клиентами.","{'profession': 'менеджер продукта', 'question': 'Какие аспекты определения видения и дорожной карты продукта вам интересны?', 'answers': ['Исследование рынка и анализ конкурентов.', 'Определение и приоритизация функций продукта.', 'Разработка и управление дорожной картой продукта.', 'Взаимодействие с командой разработки и дизайна.', 'Сбор и анализ отзывов пользователей.']}",13,"Определяет видение и дорожную карту продукта, анализирует рынок и пользовательские потребности. Использует Product management, Market research, User experience, Product lifecycle, стратегия продукта, конкурентный анализ. Анализ рынка, стратегия продукта, управление продуктом, Product management, конкурентный анализ, управление фичами, взаимодействие с клиентами."
UX/UI дизайнер,"Разрабатывает пользовательский интерфейс и взаимодействие с пользователем цифровых продуктов, создает прототипы и макеты. Использует Adobe XD, Figma, Sketch, User research, дизайн взаимодействия, тестирование пользовательского опыта (UX testing).","Дизайн интерфейсов, пользовательский опыт, Adobe XD, Figma, Sketch, прототипирование, тестирование UX, исследование пользователей.","{'profession': 'UX/UI дизайнер', 'question': 'Какие аспекты разработки пользовательского интерфейса и взаимодействия с пользователем вам нравятся?', 'answers': ['Создание прототипов и макетов.', 'Проведение пользовательских исследований и тестирования.', 'Разработка визуального дизайна и стилей.', 'Создание интерактивных элементов и анимаций.', 'Взаимодействие с командой разработки для реализации дизайна.']}",14,"Разрабатывает пользовательский интерфейс и взаимодействие с пользователем цифровых продуктов, создает прототипы и макеты. Использует Adobe XD, Figma, Sketch, User research, дизайн взаимодействия, тестирование пользовательского опыта (UX testing). Дизайн интерфейсов, пользовательский опыт, Adobe XD, Figma, Sketch, прототипирование, тестирование UX, исследование пользователей."
разработчик мобильных приложений,"Разрабатывает мобильные приложения для различных платформ, работает с архитектурой приложений, интеграцией с API. Использует Swift, Kotlin, React Native, Flutter, мобильные интерфейсы, оптимизацию производительности, многопоточность.","Мобильные приложения, Swift, Kotlin, React Native, Flutter, архитектура приложений, оптимизация кода, разработка UI/UX для мобильных платформ.","{'profession': 'разработчик мобильных приложений', 'question': 'Какие аспекты разработки мобильных приложений для различных платформ вам интересны?', 'answers': ['Разработка приложений для iOS и Android.', 'Оптимизация производительности и пользовательского опыта.', 'Интеграция с API и внешними сервисами.', 'Работа с фреймворками, такими как React Native или Flutter.', 'Тестирование и отладка приложений.']}",15,"Разрабатывает мобильные приложения для различных платформ, работает с архитектурой приложений, интеграцией с API. Использует Swift, Kotlin, React Native, Flutter, мобильные интерфейсы, оптимизацию производительности, многопоточность. Мобильные приложения, Swift, Kotlin, React Native, Flutter, архитектура приложений, оптимизация кода, разработка UI/UX для мобильных платформ."
разработчик игр,"Разрабатывает и разрабатывает видеоигры для различных платформ, работает с физикой игр, графикой и анимацией. Использует Unity, Unreal Engine, C#, игровой дизайн, 3D моделирование, игровой движок, оптимизацию графики.","Разработка игр, игровой движок, Unity, Unreal Engine, физика игр, графика, 3D моделирование, разработка игрового процесса, оптимизация.","{'profession': 'разработчик игр', 'question': 'Какие аспекты разработки и создания видеоигр вам нравятся?', 'answers': ['Создание игровых механик и уровней.', 'Разработка графики и анимации.', 'Программирование игровой логики и физики.', 'Работа с игровыми движками, такими как Unity или Unreal Engine.', 'Тестирование и отладка игр.']}",16,"Разрабатывает и разрабатывает видеоигры для различных платформ, работает с физикой игр, графикой и анимацией. Использует Unity, Unreal Engine, C#, игровой дизайн, 3D моделирование, игровой движок, оптимизацию графики. Разработка игр, игровой движок, Unity, Unreal Engine, физика игр, графика, 3D моделирование, разработка игрового процесса, оптимизация."
администратор баз данных,"Управляет и поддерживает базы данных, следит за целостностью данных, оптимизацией запросов. Использует SQL, NoSQL, Database management, оптимизация запросов, индексация, резервное копирование данных, восстановление данных.","Базы данных, SQL, NoSQL, администрирование баз данных, оптимизация запросов, индексация, репликация, резервное копирование данных.","{'profession': 'администратор баз данных', 'question': 'Какие аспекты управления и поддержки баз данных вам интересны?', 'answers': ['Проектирование и оптимизация баз данных.', 'Обеспечение безопасности и защиты данных.', 'Мониторинг и управление производительностью баз данных.', 'Резервное копирование и восстановление данных.', 'Работа с различными СУБД, такими как MySQL, PostgreSQL или Oracle.']}",17,"Управляет и поддерживает базы данных, следит за целостностью данных, оптимизацией запросов. Использует SQL, NoSQL, Database management, оптимизация запросов, индексация, резервное копирование данных, восстановление данных. Базы данных, SQL, NoSQL, администрирование баз данных, оптимизация запросов, индексация, репликация, резервное копирование данных."
инженер облачных технологий,"Разрабатывает, внедряет и управляет облачными вычислительными системами и услугами, обеспечивает безопасность и масштабирование. Использует AWS, Azure, Google Cloud, Cloud computing, виртуализация, контейнеризация, управление ресурсами.","Облачные технологии, виртуализация, контейнеризация, AWS, Azure, Google Cloud, DevOps, безопасность облака, управление ресурсами.","{'profession': 'инженер облачных технологий', 'question': 'Какие аспекты разработки и управления облачными вычислительными системами и услугами вам интересны?', 'answers': ['Разработка и развертывание облачных приложений.', 'Управление и оптимизация облачной инфраструктуры.', 'Работа с облачными платформами, такими как AWS, Azure или Google Cloud.', 'Обеспечение безопасности и защиты данных в облаке.', 'Автоматизация и оркестрация облачных ресурсов.']}",18,"Разрабатывает, внедряет и управляет облачными вычислительными системами и услугами, обеспечивает безопасность и масштабирование. Использует AWS, Azure, Google Cloud, Cloud computing, виртуализация, контейнеризация, управление ресурсами. Облачные технологии, виртуализация, контейнеризация, AWS, Azure, Google Cloud, DevOps, безопасность облака, управление ресурсами."
исследователь ИИ,"Проводит исследования и разработки в области искусственного интеллекта, разрабатывает алгоритмы и модели для решения научных задач. Использует Machine learning, Deep learning, нейронные сети, исследование данных, компьютерное зрение, reinforcement learning.","Искусственный интеллект, машинное обучение, глубокое обучение, нейронные сети, обработка данных, исследование AI, reinforcement learning.","{'profession': 'исследователь ИИ', 'question': 'Какие аспекты исследований и разработок в области искусственного интеллекта вам интересны?', 'answers': ['Разработка новых алгоритмов и моделей ИИ.', 'Исследование и анализ больших данных.', 'Применение ИИ в различных отраслях.', 'Работа с глубоким обучением и нейронными сетями.', 'Публикация научных статей и участие в конференциях.']}",19,"Проводит исследования и разработки в области искусственного интеллекта, разрабатывает алгоритмы и модели для решения научных задач. Использует Machine learning, Deep learning, нейронные сети, исследование данных, компьютерное зрение, reinforcement learning. Искусственный интеллект, машинное обучение, глубокое обучение, нейронные сети, обработка данных, исследование AI, reinforcement learning."
